분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A 연료연소_2 제조업 및 건설업_g 기타_1 수송장비제조,2008.81,2280.91,2527.7,4166.95,3021.51,3275.05,3846.69,3992.44,3256.12,3877,3228.59,3124.14,3237.44,3175.05,3378.14,3511.28,3385.26,2127.78,2529.62,2284.66,2462.15,2629.15,2476.53,2243.8,2858.99,2410.44,2868.44,3831.36,3490.63,4057.22,3960.74,4092.93,4236.12,4801.41
A 연료연소_2 제조업 및 건설업_g 기타_2 기계 제조,757.85,870.43,854.4,914.73,986.29,1056.23,1121.38,1701.32,2619.22,3187.72,2937.63,2547.73,2510.95,1959.52,1240.92,551.53,411.94,1972.4,2086.24,1790.81,2076.81,2627.23,2806.4,3026.67,2446.43,2330.48,3674.18,3468.44,2446.9,2215.42,2190.31,2254.91,2240.42,2362.19
A 연료연소_2 제조업 및 건설업_g 기타_3 광업,439.34,348.46,334.95,227.86,230.81,217.26,195.51,156.93,124.1,114.21,151.85,159.46,164.64,197.25,167.87,197.22,194.82,164.84,146.54,156.73,194.62,183.37,172.26,185.62,148.04,136.74,142.05,124.57,122.14,120.91,136.57,132.43,123.84,165.6
A 연료연소_2 제조업 및 건설업_g 기타_4 목재 및 목제품,220.96,241.44,237.07,105.21,340.96,272.76,290.34,291.15,212.74,262.3,262.35,243.37,260.82,226.32,275.21,178.23,156.95,193.06,187.02,231.8,221.15,190.19,172.49,169.69,204.26,208.54,139.56,138.79,164.19,121.84,145.25,132.47,139.58,93.51
A 연료연소_2 제조업 및 건설업_g 기타_5 건설업,1657.34,1558.23,1377.65,1630.94,1273.16,1229.36,1226.36,1392.64,1031.65,1069.93,1414.53,1332.98,1580.94,1657.82,1778.79,1952.59,2683.71,2402.94,2345.91,2349.68,2537.5,2577.2,2266.23,2201.01,2355.98,2611.02,2686.21,2261.24,2218.11,2183.41,2139.04,2034.92,1966.81,1813.02
A 연료연소_2 제조업 및 건설업_g 기타_6 섬유 및 가죽,6204.42,6100.4,6141.79,6378.09,6947.74,6754.15,7329.81,8952.27,9620.96,10537.17,10563.65,10233.18,9744.06,8992.13,9473.97,8655,7852.32,7572.39,7448.38,7008.48,6858.21,6612.95,6003.85,5347.9,5674.97,4997.81,4964.9,5350.16,4960.93,4608.76,4146.23,4368.2,4233.46,4524.77
A 연료연소_2 제조업 및 건설업_g 기타_7 기타,3781.86,5437.39,4491.21,7558.49,5448.98,5604.17,11593.95,5691.14,4309.31,5468.92,8284.51,9446.99,10961.44,12377.26,11167.65,12535.54,13326.4,12632.27,12439.69,13198.05,15539.59,18550.96,16608.2,16233.97,13448.64,16240.84,16261.56,16220.38,15274.47,12711.71,11965.89,12676.75,11526.73,9533.15
A 연료연소_3 수송,36502.47,39711.16,45236.27,57141.62,59250.79,66628.55,70864.9,76484.45,59289.86,64437.13,71921.06,75128.3,80215.27,83055.39,83179.32,84021.11,84726.96,86993.7,84549.78,85220,86733.74,86441.44,87800.97,89745.58,90009.32,95476.83,99971.96,99452.24,98882.39,101864.86,96913.42,99611.08,98625.99,97825.94
A 연료연소_3 수송_a 국내항공,865.5,942.32,1093.7,1234.77,1265.96,1395.34,1448.51,1663.09,1416.38,1364.43,1479.39,1365.47,1409.42,1446.73,1197.31,1085.65,1016.82,998.97,1041.52,1147.93,1210.22,1279.54,1289.51,1394.13,1507,1552.57,1766.58,1766.73,1712.79,1761.42,1674.85,1969.67,1867.75,1771.69
A 연료연소_3 수송_b 도로수송,31718.29,36393.88,41628.01,50186.8,52875.69,60198.89,65985.03,70762.51,54138.58,59661.03,66270.17,69361.12,74408.01,77046.41,77768.73,78872.63,79819.77,82263.35,79755.92,80571.03,82207.5,81875.6,83352.97,85984.52,86571.62,91226.73,95630.92,95191.75,95307.32,98152.57,93823.97,96011.45,95093.35,94414.14
